,window_start,ticker,symbol,contract_month,contract_year,transactions,open,high,low,close,session_end_date,settlement_price,dollar_volume,volume,timeframe
0,2026-01-08 13:30:00,MNQH6,MNQ,H,2026.0,3444,25803.5,25818.75,25786.0,25792.25,2026-01-08,,181699942,7042,5min
1,2026-01-08 14:10:00,MNQH6,MNQ,H,2026.0,2305,25804.5,25811.0,25793.0,25795.0,2026-01-08,,104912824,4066,5min
2,2026-01-08 14:30:00,MNQH6,MNQ,H,2026.0,33911,25786.25,25802.75,25692.5,25705.75,2026-01-08,,1591588136,61824,5min
3,2026-01-08 14:35:00,MNQH6,MNQ,H,2026.0,25002,25705.75,25729.75,25676.5,25679.0,2026-01-08,,1122389856,43668,5min
4,2026-01-08 15:25:00,MNQH6,MNQ,H,2026.0,8873,25692.0,25713.5,25681.25,25697.0,2026-01-08,,472506079,18388,5min
5,2026-01-08 15:30:00,MNQH6,MNQ,H,2026.0,10775,25697.25,25705.5,25664.75,25665.75,2026-01-08,,559505880,21783,5min
6,2026-01-08 21:40:00,MNQH6,MNQ,H,2026.0,1880,25725.5,25741.75,25725.25,25730.75,2026-01-08,,120893228,4698,5min
7,2026-01-08 21:50:00,MNQH6,MNQ,H,2026.0,411,25730.25,25735.0,25725.5,25726.5,2026-01-08,,31880638,1239,5min
8,2026-01-08 21:55:00,MNQH6,MNQ,H,2026.0,1015,25727.0,25728.0,25706.5,25711.75,2026-01-08,,73880958,2873,5min
9,2026-01-08 23:00:00,MNQH6,MNQ,H,2026.0,1540,25720.5,25727.0,25713.0,25714.5,2026-01-09,,64454355,2506,5min
10,2026-01-08 23:05:00,MNQH6,MNQ,H,2026.0,680,25714.0,25722.0,25710.5,25717.0,2026-01-09,,30422896,1183,5min
11,2026-01-08 23:10:00,MNQH6,MNQ,H,2026.0,631,25717.5,25717.5,25707.0,25709.25,2026-01-09,,27846363,1083,5min
12,2026-01-08 23:15:00,MNQH6,MNQ,H,2026.0,417,25709.0,25710.75,25705.5,25707.5,2026-01-09,,20103542,782,5min
13,2026-01-08 23:20:00,MNQH6,MNQ,H,2026.0,619,25707.5,25710.25,25698.5,25699.25,2026-01-09,,31282062,1217,5min
14,2026-01-08 23:25:00,MNQH6,MNQ,H,2026.0,675,25699.25,25701.5,25692.5,25693.75,2026-01-09,,31761484,1236,5min
15,2026-01-08 23:30:00,MNQH6,MNQ,H,2026.0,525,25694.0,25698.0,25690.25,25690.5,2026-01-09,,27416547,1067,5min
16,2026-01-09 00:40:00,MNQH6,MNQ,H,2026.0,606,25691.75,25695.5,25685.0,25694.5,2026-01-09,,30032234,1169,5min
17,2026-01-09 00:45:00,MNQH6,MNQ,H,2026.0,565,25694.5,25694.5,25684.0,25685.25,2026-01-09,,28487867,1109,5min
18,2026-01-09 20:25:00,MNQH6,MNQ,H,2026.0,3075,25980.5,25986.0,25967.0,25967.5,2026-01-09,,163518989,6295,5min
19,2026-01-09 20:30:00,MNQH6,MNQ,H,2026.0,3012,25967.25,25972.75,25963.5,25970.25,2026-01-09,,164169741,6322,5min
20,2026-01-09 20:35:00,MNQH6,MNQ,H,2026.0,2211,25970.25,25970.25,25961.75,25963.75,2026-01-09,,117775143,4536,5min
21,2026-01-09 20:45:00,MNQH6,MNQ,H,2026.0,2572,25961.0,25965.0,25955.75,25961.5,2026-01-09,,142391894,5485,5min
22,2026-01-09 20:50:00,MNQH6,MNQ,H,2026.0,5971,25961.5,25962.0,25942.25,25952.5,2026-01-09,,368409570,14196,5min
23,2026-01-11 23:00:00,MNQH6,MNQ,H,2026.0,4441,25946.5,25955.75,25870.25,25891.0,2026-01-12,,177453083,6851,5min
24,2026-01-11 23:05:00,MNQH6,MNQ,H,2026.0,2920,25890.75,25923.0,25881.0,25913.25,2026-01-12,,120673522,4659,5min
25,2026-01-11 23:10:00,MNQH6,MNQ,H,2026.0,1745,25913.25,25919.75,25900.25,25906.0,2026-01-12,,78198697,3018,5min
26,2026-01-11 23:15:00,MNQH6,MNQ,H,2026.0,2140,25906.0,25912.75,25879.75,25893.25,2026-01-12,,99123255,3828,5min
27,2026-01-11 23:30:00,MNQH6,MNQ,H,2026.0,992,25902.5,25912.0,25896.25,25906.0,2026-01-12,,50075465,1933,5min
28,2026-01-11 23:50:00,MNQH6,MNQ,H,2026.0,717,25904.75,25911.0,25898.75,25905.0,2026-01-12,,34427553,1329,5min
29,2026-01-11 23:55:00,MNQH6,MNQ,H,2026.0,681,25904.75,25909.5,25893.25,25894.0,2026-01-12,,32222234,1244,5min
30,2026-01-12 00:00:00,MNQH6,MNQ,H,2026.0,2402,25893.5,25902.5,25880.75,25887.75,2026-01-12,,111482565,4306,5min
31,2026-01-12 00:05:00,MNQH6,MNQ,H,2026.0,3263,25888.5,25891.5,25861.75,25871.5,2026-01-12,,153212101,5922,5min
32,2026-01-12 00:10:00,MNQH6,MNQ,H,2026.0,1944,25871.5,25872.5,25855.0,25861.0,2026-01-12,,95022689,3674,5min
33,2026-01-12 00:15:00,MNQH6,MNQ,H,2026.0,1262,25860.5,25872.0,25856.75,25867.5,2026-01-12,,57423814,2220,5min
34,2026-01-12 00:20:00,MNQH6,MNQ,H,2026.0,793,25868.25,25870.25,25857.5,25859.5,2026-01-12,,41820721,1617,5min
35,2026-01-12 00:25:00,MNQH6,MNQ,H,2026.0,676,25858.75,25867.25,25857.75,25861.75,2026-01-12,,33983277,1314,5min
36,2026-01-12 00:30:00,MNQH6,MNQ,H,2026.0,3565,25861.5,25862.5,25825.25,25832.75,2026-01-12,,171868165,6650,5min
37,2026-01-12 00:35:00,MNQH6,MNQ,H,2026.0,5806,25832.25,25846.5,25772.75,25788.5,2026-01-12,,270372769,10478,5min
38,2026-01-12 00:40:00,MNQH6,MNQ,H,2026.0,3633,25788.0,25815.75,25781.75,25805.5,2026-01-12,,177779457,6891,5min
39,2026-01-12 00:45:00,MNQH6,MNQ,H,2026.0,1931,25806.0,25813.75,25800.25,25804.5,2026-01-12,,90869513,3521,5min
40,2026-01-12 00:50:00,MNQH6,MNQ,H,2026.0,2280,25804.75,25804.75,25786.25,25795.75,2026-01-12,,111294570,4315,5min
41,2026-01-12 00:55:00,MNQH6,MNQ,H,2026.0,1772,25796.0,25800.75,25780.25,25789.0,2026-01-12,,87838030,3406,5min
42,2026-01-12 01:00:00,MNQH6,MNQ,H,2026.0,4716,25789.0,25797.5,25762.25,25780.5,2026-01-12,,217668021,8444,5min
43,2026-01-12 01:05:00,MNQH6,MNQ,H,2026.0,2098,25780.5,25789.5,25775.75,25776.75,2026-01-12,,97562890,3784,5min
44,2026-01-12 01:10:00,MNQH6,MNQ,H,2026.0,2769,25776.5,25787.75,25760.25,25781.75,2026-01-12,,135529981,5258,5min
45,2026-01-12 01:45:00,MNQH6,MNQ,H,2026.0,2593,25769.5,25785.0,25767.0,25778.75,2026-01-12,,131436057,5099,5min
46,2026-01-12 01:50:00,MNQH6,MNQ,H,2026.0,1675,25779.5,25784.5,25768.75,25774.5,2026-01-12,,83079364,3223,5min
47,2026-01-12 01:55:00,MNQH6,MNQ,H,2026.0,1078,25774.5,25784.0,25773.25,25778.0,2026-01-12,,49392745,1916,5min
48,2026-01-12 02:00:00,MNQH6,MNQ,H,2026.0,2243,25777.75,25778.5,25753.0,25759.25,2026-01-12,,104930827,4073,5min
49,2026-01-12 02:05:00,MNQH6,MNQ,H,2026.0,1443,25760.75,25765.75,25750.25,25754.0,2026-01-12,,66972786,2600,5min
50,2026-01-12 02:50:00,MNQH6,MNQ,H,2026.0,1763,25757.5,25764.5,25740.0,25747.75,2026-01-12,,94716293,3678,5min
51,2026-01-12 03:05:00,MNQH6,MNQ,H,2026.0,836,25743.5,25753.5,25741.5,25745.5,2026-01-12,,39779889,1545,5min
52,2026-01-12 03:15:00,MNQH6,MNQ,H,2026.0,741,25743.75,25752.75,25740.5,25751.25,2026-01-12,,34785487,1351,5min
53,2026-01-12 03:30:00,MNQH6,MNQ,H,2026.0,739,25745.5,25752.75,25745.0,25750.25,2026-01-12,,38005984,1476,5min
54,2026-01-12 03:35:00,MNQH6,MNQ,H,2026.0,884,25750.0,25752.0,25740.0,25749.5,2026-01-12,,48659957,1890,5min
55,2026-01-12 03:40:00,MNQH6,MNQ,H,2026.0,513,25749.25,25750.5,25741.5,25746.0,2026-01-12,,24432220,949,5min
56,2026-01-12 20:00:00,MNQH6,MNQ,H,2026.0,3457,26015.0,26020.5,26004.0,26005.5,2026-01-12,,198267832,7622,5min
57,2026-01-12 20:05:00,MNQH6,MNQ,H,2026.0,2103,26005.5,26010.25,26002.25,26002.5,2026-01-12,,111512513,4288,5min
58,2026-01-12 20:10:00,MNQH6,MNQ,H,2026.0,2907,26002.5,26008.25,25997.25,26002.5,2026-01-12,,159522304,6135,5min
59,2026-01-12 20:15:00,MNQH6,MNQ,H,2026.0,2816,26002.5,26003.0,25992.5,25994.0,2026-01-12,,152678616,5873,5min
60,2026-01-12 20:20:00,MNQH6,MNQ,H,2026.0,3125,25993.75,25997.75,25986.25,25989.25,2026-01-12,,170031496,6542,5min
61,2026-01-12 20:30:00,MNQH6,MNQ,H,2026.0,3864,25991.0,25995.75,25983.25,25989.25,2026-01-12,,218464104,8406,5min
62,2026-01-12 20:45:00,MNQH6,MNQ,H,2026.0,3718,25979.75,25991.0,25974.5,25984.5,2026-01-12,,206181594,7935,5min
63,2026-01-12 20:50:00,MNQH6,MNQ,H,2026.0,7850,25984.0,25984.0,25957.5,25974.5,2026-01-12,,457553597,17619,5min
64,2026-01-12 20:55:00,MNQH6,MNQ,H,2026.0,8405,25974.25,25974.25,25950.5,25952.0,2026-01-12,,478393308,18427,5min
65,2026-01-12 21:25:00,MNQH6,MNQ,H,2026.0,1080,25963.0,25974.25,25963.0,25971.25,2026-01-12,,70741695,2724,5min
66,2026-01-12 21:30:00,MNQH6,MNQ,H,2026.0,645,25971.0,25971.5,25965.5,25968.25,2026-01-12,,44405271,1710,5min
67,2026-01-12 21:40:00,MNQH6,MNQ,H,2026.0,620,25963.0,25969.75,25963.0,25967.25,2026-01-12,,43544908,1677,5min
68,2026-01-12 21:45:00,MNQH6,MNQ,H,2026.0,1651,25967.25,25968.0,25946.25,25947.0,2026-01-12,,105328151,4058,5min
69,2026-01-12 23:00:00,MNQH6,MNQ,H,2026.0,2597,25948.0,25954.0,25915.0,25920.25,2026-01-13,,115836006,4467,5min
70,2026-01-12 23:20:00,MNQH6,MNQ,H,2026.0,516,25933.5,25938.5,25932.5,25936.5,2026-01-13,,25313043,976,5min
71,2026-01-12 23:25:00,MNQH6,MNQ,H,2026.0,524,25936.5,25936.75,25926.75,25927.25,2026-01-13,,22352835,862,5min
72,2026-01-12 23:35:00,MNQH6,MNQ,H,2026.0,457,25928.5,25932.25,25923.25,25923.75,2026-01-13,,20820164,803,5min
73,2026-01-12 23:40:00,MNQH6,MNQ,H,2026.0,822,25923.0,25924.75,25913.5,25918.0,2026-01-13,,42740056,1649,5min
74,2026-01-12 23:45:00,MNQH6,MNQ,H,2026.0,1458,25919.0,25919.0,25902.5,25904.5,2026-01-13,,78351643,3024,5min
75,2026-01-12 23:50:00,MNQH6,MNQ,H,2026.0,1023,25905.0,25908.75,25896.5,25899.0,2026-01-13,,52710784,2035,5min
76,2026-01-12 23:55:00,MNQH6,MNQ,H,2026.0,977,25899.25,25902.0,25893.5,25895.75,2026-01-13,,46796021,1807,5min
77,2026-01-13 00:00:00,MNQH6,MNQ,H,2026.0,2102,25896.0,25899.75,25881.75,25886.0,2026-01-13,,98047092,3787,5min
78,2026-01-13 13:30:00,MNQH6,MNQ,H,2026.0,15579,25910.75,26046.25,25910.75,26017.0,2026-01-13,,722745202,27794,5min
